nomes,idade,cidade,estado,cpf,cnpj,qtd_clientes_estado,media_idade,CPF_Valido_Invalido,CNPJ_Valido_Invalido,Quantidade CPF Válidos,Quantidade de CPF Inválidos,Quantidade CNPJ Válidos,Quantidade de CNPJ Inválidos,Quantidade_Clientes
David Johnson,52,ABADIA DE GOIÁS,GO,81835422985,47268913,371,53.7831,True,True,10000,0,5061,4939,10000
Scott Walsh,18,AÇAILÂNDIA,MA,32753000832,31810698906672,371,53.7831,True,False,10000,0,5061,4939,10000
Sarah Wood,38,ABADIA DOS DOURADOS,MINAS GERAI,16900345999,10260613,13,53.7831,True,True,10000,0,5061,4939,10000
Jon Shaw,63,ÁGUA CLARA,MS,56008860632,57368434566070,370,53.7831,True,False,10000,0,5061,4939,10000
Mary Baxter,57,ACORIZAL,MT,18675964668,58322213,370,53.7831,True,True,10000,0,5061,4939,10000
Gina Vasquez,65,ABAETETUBA,PA,91872334288,03130777306160,370,53.7831,True,False,10000,0,5061,4939,10000
Chelsea Jordan,53,ÁGUA BRANCA,PB,75721096594,92408613,370,53.7831,True,True,10000,0,5061,4939,10000
Sandra Clark,41,ABREU E LIMA,PE,33807301305,12046947811862,370,53.7831,True,True,10000,0,5061,4939,10000
Lisa Rogers,29,ACAUÃ,PI,82778016619,95073713,370,53.7831,True,True,10000,0,5061,4939,10000
Dr. Jennifer Kennedy,35,ABATIÁ,PR,51226237754,16633707777455,370,53.7831,True,False,10000,0,5061,4939,10000
Lisa Daniels,70,ANGRA DOS REIS,RJ,13662958384,53197313,355,53.7831,True,True,10000,0,5061,4939,10000
Gary Klein,66,ACARI,RN,72195541172,60477546454276,370,53.7831,True,False,10000,0,5061,4939,10000
Evan Mclaughlin,63,ALTA FLORESTA D'OESTE,RO,53619992290,62820413,370,53.7831,True,True,10000,0,5061,4939,10000
Victor Green,22,AMAJARI,RR,68893491052,71431529774049,370,53.7831,True,False,10000,0,5061,4939,10000
Melanie Santos,19,ACEGUÁ,RS,94354339366,73787613,370,53.7831,True,True,10000,0,5061,4939,10000
Kathleen Bowman,61,ABDON BATISTA,SC,82204542296,99820789466630,370,53.7831,True,False,10000,0,5061,4939,10000
Lori Taylor,90,AMPARO DE SÃO FRANCISCO,SE,40387785337,61507413,370,53.7831,True,True,10000,0,5061,4939,10000
Crystal Jones,43,ADAMANTINA,SP,46619823718,87838141151881,364,53.7831,True,False,10000,0,5061,4939,10000
Anthony Manning,74,ABREULÂNDIA,TO,19749632508,29977813,370,53.7831,True,True,10000,0,5061,4939,10000
Andrew Powers,41,ACRELÂNDIA,AC,69666399822,86252787608020,371,53.7831,True,False,10000,0,5061,4939,10000
Scott Dawson,22,ÁGUA BRANCA,AL,82508808385,80520213,371,53.7831,True,True,10000,0,5061,4939,10000
Brandy Turner,55,ALVARÃES,AM,85126199536,06530995672799,371,53.7831,True,False,10000,0,5061,4939,10000
Rhonda Sampson,88,SERRA DO NAVIO,AP,613063988,81490513,371,53.7831,True,True,10000,0,5061,4939,10000
Sonya Waller,78,ABAÍRA,BA,27180977012,04679081704717,371,53.7831,True,False,10000,0,5061,4939,10000
Terrence Smith,72,ABAIARA,CE,83959176430,81656113,371,53.7831,True,True,10000,0,5061,4939,10000
Mark Gutierrez,20,Brasília,DF,01774813157,38517568905613,365,53.7831,True,False,10000,0,5061,4939,10000
Dillon Hunt,45,AFONSO CLÁUDIO,ES,99225106777,26456813,371,53.7831,True,True,10000,0,5061,4939,10000
Chelsea Pitts,20,ABADIA DE GOIÁS,GO,07173832454,07901824074541,371,53.7831,True,False,10000,0,5061,4939,10000
Joseph Foster,32,AÇAILÂNDIA,MA,17425016486,86104612,371,53.7831,True,True,10000,0,5061,4939,10000
Lori Bartlett,57,ABADIA DOS DOURADOS,MINAS GERAI,68670002400,85763132319701,13,53.7831,True,False,10000,0,5061,4939,10000
Laurie Wood,88,ÁGUA CLARA,MS,98279975306,68291813,370,53.7831,True,True,10000,0,5061,4939,10000
John Smith,51,ACORIZAL,MT,34812743788,49783773696622,370,53.7831,True,False,10000,0,5061,4939,10000
Justin Byrd,58,ABAETETUBA,PA,74795022224,77761113,370,53.7831,True,True,10000,0,5061,4939,10000
Heather Peck,78,ÁGUA BRANCA,PB,83595593413,48002667032949,370,53.7831,True,False,10000,0,5061,4939,10000
Raymond Fleming,36,ABREU E LIMA,PE,30985565101,4126413,370,53.7831,True,True,10000,0,5061,4939,10000
Evelyn Logan,47,ACAUÃ,PI,18888832190,00974895245435,370,53.7831,True,False,10000,0,5061,4939,10000
Sharon Hess,85,ABATIÁ,PR,32645433898,90119413,370,53.7831,True,True,10000,0,5061,4939,10000
Stanley Cook,80,ANGRA DOS REIS,RJ,33206697379,33235349299876,355,53.7831,True,False,10000,0,5061,4939,10000
Annette Fuller,63,ACARI,RN,48051121821,80096513,370,53.7831,True,True,10000,0,5061,4939,10000
Jennifer Brown,84,ALTA FLORESTA D'OESTE,RO,43797129823,96335871006508,370,53.7831,True,False,10000,0,5061,4939,10000
Donald Young,56,AMAJARI,RR,20991503112,29705613,370,53.7831,True,True,10000,0,5061,4939,10000
Stephen Williams,35,ACEGUÁ,RS,40066300185,85524210435880,370,53.7831,True,False,10000,0,5061,4939,10000
Robert Andersen,49,ABDON BATISTA,SC,85287066724,1591113,370,53.7831,True,True,10000,0,5061,4939,10000
Mr. Juan Huynh,60,AMPARO DE SÃO FRANCISCO,SE,45866471086,61802281739897,370,53.7831,True,False,10000,0,5061,4939,10000
Tanya Singh MD,74,ADAMANTINA,SP,89382967508,49271913,364,53.7831,True,True,10000,0,5061,4939,10000
Kathryn Ray,86,ABREULÂNDIA,TO,42463976101,18964230484745,370,53.7831,True,False,10000,0,5061,4939,10000
Chloe Gonzalez,30,ACRELÂNDIA,AC,59992046236,37097413,371,53.7831,True,True,10000,0,5061,4939,10000
Aaron Kelly,52,ÁGUA BRANCA,AL,30682658006,12635434262770,371,53.7831,True,False,10000,0,5061,4939,10000
Michael Becker,44,ALVARÃES,AM,41095919610,86438313,371,53.7831,True,True,10000,0,5061,4939,10000
Joseph Horton,64,SERRA DO NAVIO,AP,37059435530,43537445152309,371,53.7831,True,False,10000,0,5061,4939,10000
Steven Terry,90,ABAÍRA,BA,3800057603,69307113,371,53.7831,True,True,10000,0,5061,4939,10000
Steven Houston,48,ABAIARA,CE,79976692641,36245569861151,371,53.7831,True,False,10000,0,5061,4939,10000
Alexandria Soto MD,33,Brasília,DF,84572378886,20771413,365,53.7831,True,True,10000,0,5061,4939,10000
James Mcdonald,78,AFONSO CLÁUDIO,ES,62723064743,55975633340471,371,53.7831,True,False,10000,0,5061,4939,10000
Cassandra Kirk,20,ABADIA DE GOIÁS,GO,74340279838,34497513,371,53.7831,True,True,10000,0,5061,4939,10000
Deanna Conner,25,AÇAILÂNDIA,MA,45181454615,90610315899960,371,53.7831,True,False,10000,0,5061,4939,10000
Jamie Jones,66,ABADIA DOS DOURADOS,MINAS GERAI,42430790726,71844413,13,53.7831,True,True,10000,0,5061,4939,10000
Thomas Jones,73,ÁGUA CLARA,MS,04574266325,11089127315804,370,53.7831,True,False,10000,0,5061,4939,10000
Marie Mcclure,68,ACORIZAL,MT,5701238288,66059113,370,53.7831,True,True,10000,0,5061,4939,10000
Kenneth Foster,58,ABAETETUBA,PA,44281133313,76793172358867,370,53.7831,True,False,10000,0,5061,4939,10000
Heather Bryant,49,ÁGUA BRANCA,PB,71337575674,60142513,370,53.7831,True,True,10000,0,5061,4939,10000
Julie Wu,51,ABREU E LIMA,PE,66885169935,85556142281000,370,53.7831,True,False,10000,0,5061,4939,10000
Todd Phillips,69,ACAUÃ,PI,66659187421,28921913,370,53.7831,True,True,10000,0,5061,4939,10000
Daniel Keller,44,ABATIÁ,PR,09060561791,38370204509464,370,53.7831,True,False,10000,0,5061,4939,10000
Jennifer Garcia,22,ANGRA DOS REIS,RJ,528140337,34247713,355,53.7831,True,True,10000,0,5061,4939,10000
Holly Taylor,43,ACARI,RN,23499914239,67536327433181,370,53.7831,True,False,10000,0,5061,4939,10000
Amanda Sims,22,ALTA FLORESTA D'OESTE,RO,53193306690,16431912,370,53.7831,True,True,10000,0,5061,4939,10000
Kim Morgan,50,AMAJARI,RR,10061357405,43824806894701,370,53.7831,True,False,10000,0,5061,4939,10000
Tonya Oliver,53,ACEGUÁ,RS,38977261228,8971113,370,53.7831,True,True,10000,0,5061,4939,10000
Bruce Flores,49,ABDON BATISTA,SC,51747205001,11083934834507,370,53.7831,True,False,10000,0,5061,4939,10000
Stephen Gardner,59,AMPARO DE SÃO FRANCISCO,SE,22288262516,56416613,370,53.7831,True,True,10000,0,5061,4939,10000
Michael Fowler,30,ADAMANTINA,SP,71980239592,52186536020091,364,53.7831,True,False,10000,0,5061,4939,10000
Michael West,84,ABREULÂNDIA,TO,93628679400,40416513,370,53.7831,True,True,10000,0,5061,4939,10000
Vanessa Blair,28,ACRELÂNDIA,AC,00506521680,60317106282612,371,53.7831,True,False,10000,0,5061,4939,10000
Dylan Rowe,69,ÁGUA BRANCA,AL,91567210058,97619913,371,53.7831,True,True,10000,0,5061,4939,10000
Autumn Blackwell,56,ALVARÃES,AM,37758111092,76284419364208,371,53.7831,True,False,10000,0,5061,4939,10000
Jessica Smith,78,SERRA DO NAVIO,AP,36647096329,53076613,371,53.7831,True,True,10000,0,5061,4939,10000
Gary Page,65,ABAÍRA,BA,38699871708,70739241323144,371,53.7831,True,False,10000,0,5061,4939,10000
Kimberly Roberts,62,ABAIARA,CE,97792110559,78672413,371,53.7831,True,True,10000,0,5061,4939,10000
Andrew Gilbert,72,Brasília,DF,17581899241,23505301537222,365,53.7831,True,False,10000,0,5061,4939,10000
Kristina Bryant,88,AFONSO CLÁUDIO,ES,16665049710,30416212,371,53.7831,True,True,10000,0,5061,4939,10000
Dawn Richardson,55,ABADIA DE GOIÁS,GO,09020845004,48102808533945,371,53.7831,True,False,10000,0,5061,4939,10000
Linda Foster,40,AÇAILÂNDIA,MA,10762416114,35951513,371,53.7831,True,True,10000,0,5061,4939,10000
Jorge Chan,44,ABADIA DOS DOURADOS,MINAS GERAI,18352074300,94098604187304,13,53.7831,True,False,10000,0,5061,4939,10000
Ryan Gardner,88,ÁGUA CLARA,MS,16668806635,42424113,370,53.7831,True,True,10000,0,5061,4939,10000
David Bradley,74,ACORIZAL,MT,25207012851,63497096305861,370,53.7831,True,False,10000,0,5061,4939,10000
Eric Mullins,75,ABAETETUBA,PA,92949867642,3177513,370,53.7831,True,True,10000,0,5061,4939,10000
Gregg Stephens,70,ÁGUA BRANCA,PB,47547184960,24784207903413,370,53.7831,True,False,10000,0,5061,4939,10000
Megan Cantu,21,ABREU E LIMA,PE,6091108107,94759113,370,53.7831,True,True,10000,0,5061,4939,10000
Belinda Alexander,18,ACAUÃ,PI,20232785112,30979970575047,370,53.7831,True,False,10000,0,5061,4939,10000
Joshua Jacobson,86,ABATIÁ,PR,90010653333,10385713,370,53.7831,True,True,10000,0,5061,4939,10000
Kathryn Carlson,89,ANGRA DOS REIS,RJ,98850852703,14371608803868,355,53.7831,True,False,10000,0,5061,4939,10000
Eric Johnson,71,ACARI,RN,5256528840,43750513,370,53.7831,True,True,10000,0,5061,4939,10000
Dale Carlson,69,ALTA FLORESTA D'OESTE,RO,83306172383,43800925981015,370,53.7831,True,False,10000,0,5061,4939,10000
Rebekah Lowe,42,AMAJARI,RR,25618477050,63112312,370,53.7831,True,True,10000,0,5061,4939,10000
Craig Jones,63,ACEGUÁ,RS,46226113170,21768270702731,370,53.7831,True,False,10000,0,5061,4939,10000
Christopher Torres,89,ABDON BATISTA,SC,9189077806,74196413,370,53.7831,True,True,10000,0,5061,4939,10000
Stacey Evans,34,AMPARO DE SÃO FRANCISCO,SE,66641509648,67906431234428,370,53.7831,True,False,10000,0,5061,4939,10000
Christopher Tran,43,ADAMANTINA,SP,53900763038,75484413,364,53.7831,True,True,10000,0,5061,4939,10000
Danielle Ryan,20,ABREULÂNDIA,TO,82648809325,30575907179360,370,53.7831,True,False,10000,0,5061,4939,10000
Barbara Phelps,48,ACRELÂNDIA,AC,97900142100,92235713,371,53.7831,True,True,10000,0,5061,4939,10000
Jeremy Smith,78,ÁGUA BRANCA,AL,75986108000,66902486225082,371,53.7831,True,False,10000,0,5061,4939,10000
Brian Baker,84,ALVARÃES,AM,24588018035,54700313,371,53.7831,True,True,10000,0,5061,4939,10000
Kendra Mitchell,87,SERRA DO NAVIO,AP,96998787707,10629752010990,371,53.7831,True,True,10000,0,5061,4939,10000
Michael Burgess,22,ABAÍRA,BA,14652634625,21276413,371,53.7831,True,True,10000,0,5061,4939,10000
Barbara Taylor,60,ABAIARA,CE,42389030726,13884220705979,371,53.7831,True,False,10000,0,5061,4939,10000
Kathryn Hart,54,Brasília,DF,65280371670,92240913,365,53.7831,True,True,10000,0,5061,4939,10000
Christopher Singh,25,AFONSO CLÁUDIO,ES,86515829787,19632545680182,371,53.7831,True,False,10000,0,5061,4939,10000
Jeffrey Carlson,85,ABADIA DE GOIÁS,GO,64374874100,65157813,371,53.7831,True,True,10000,0,5061,4939,10000
Charles Blanchard,78,AÇAILÂNDIA,MA,62182659277,77895387732052,371,53.7831,True,False,10000,0,5061,4939,10000
Jessica Warner,89,ABADIA DOS DOURADOS,MINAS GERAI,41042768129,54296713,13,53.7831,True,True,10000,0,5061,4939,10000
Karen Rowe,52,ÁGUA CLARA,MS,34637033195,12319927249001,370,53.7831,True,False,10000,0,5061,4939,10000
Michelle Powell,55,ACORIZAL,MT,81132796954,69262513,370,53.7831,True,True,10000,0,5061,4939,10000
Tina Byrd PhD,46,ABAETETUBA,PA,81812644795,24967045192765,370,53.7831,True,False,10000,0,5061,4939,10000
Victoria Gill,37,ÁGUA BRANCA,PB,70877180458,74579312,370,53.7831,True,True,10000,0,5061,4939,10000
Jon Lynch,68,ABREU E LIMA,PE,06544679194,64317609614749,370,53.7831,True,False,10000,0,5061,4939,10000
Kyle Cross,21,ACAUÃ,PI,9725806468,44210113,370,53.7831,True,True,10000,0,5061,4939,10000
William Norris,69,ABATIÁ,PR,42789700567,87477181961502,370,53.7831,True,False,10000,0,5061,4939,10000
Kathleen Miller,52,ANGRA DOS REIS,RJ,4235582852,13532713,355,53.7831,True,True,10000,0,5061,4939,10000
Heather Kim,75,ACARI,RN,18346174136,25954853090249,370,53.7831,True,False,10000,0,5061,4939,10000
Michael Lee,35,ALTA FLORESTA D'OESTE,RO,43543841599,95323613,370,53.7831,True,True,10000,0,5061,4939,10000
Brandon Walters,55,AMAJARI,RR,34613641853,51723674456809,370,53.7831,True,False,10000,0,5061,4939,10000
Lisa Brown,21,ACEGUÁ,RS,67491294987,31189413,370,53.7831,True,True,10000,0,5061,4939,10000
Theresa Wilson,84,ABDON BATISTA,SC,60209127791,34047612971327,370,53.7831,True,False,10000,0,5061,4939,10000
Christopher Melendez,66,AMPARO DE SÃO FRANCISCO,SE,32860070567,97815613,370,53.7831,True,True,10000,0,5061,4939,10000
Rodney Peck,45,ADAMANTINA,SP,00330933930,82322295338544,364,53.7831,True,False,10000,0,5061,4939,10000
Kaitlyn Bell,43,ABREULÂNDIA,TO,44071238852,55681513,370,53.7831,True,True,10000,0,5061,4939,10000
Amy Morgan,75,ACRELÂNDIA,AC,94337120564,64740548007678,371,53.7831,True,False,10000,0,5061,4939,10000
Danielle Thompson,81,ÁGUA BRANCA,AL,34978753686,35347113,371,53.7831,True,True,10000,0,5061,4939,10000
Brianna Walker,27,ALVARÃES,AM,15838364629,69755310347651,371,53.7831,True,False,10000,0,5061,4939,10000
Dr. Karen Brown MD,53,SERRA DO NAVIO,AP,13166571167,76388713,371,53.7831,True,True,10000,0,5061,4939,10000
Sheri Bell,28,ABAÍRA,BA,37203685306,15479953098372,371,53.7831,True,False,10000,0,5061,4939,10000
Taylor Lewis,53,ABAIARA,CE,98855658506,73140813,371,53.7831,True,True,10000,0,5061,4939,10000
Shannon Donovan,83,Brasília,DF,66661646446,29957993389103,365,53.7831,True,False,10000,0,5061,4939,10000
Kelly Gonzalez,86,AFONSO CLÁUDIO,ES,11886592608,32687513,371,53.7831,True,True,10000,0,5061,4939,10000
John Rodriguez,37,ABADIA DE GOIÁS,GO,83445226253,43220040995692,371,53.7831,True,False,10000,0,5061,4939,10000
Brian Taylor,55,AÇAILÂNDIA,MA,21142052079,78783811,371,53.7831,True,True,10000,0,5061,4939,10000
Jose Charles,19,ABADIA DOS DOURADOS,MINAS GERAI,97104776176,21244532155938,13,53.7831,True,False,10000,0,5061,4939,10000
Kellie Ferguson,58,ÁGUA CLARA,MS,44574928336,68299813,370,53.7831,True,True,10000,0,5061,4939,10000
Ryan Lee,63,ACORIZAL,MT,32029463582,04807515645010,370,53.7831,True,False,10000,0,5061,4939,10000
Allen Horn,63,ABAETETUBA,PA,40273042173,55614613,370,53.7831,True,True,10000,0,5061,4939,10000
Daniel James,21,ÁGUA BRANCA,PB,23761437641,45938288437799,370,53.7831,True,False,10000,0,5061,4939,10000
Tyler Hodge,57,ABREU E LIMA,PE,49404265721,36491913,370,53.7831,True,True,10000,0,5061,4939,10000
Sarah Thomas,25,ACAUÃ,PI,93633106715,00633311666137,370,53.7831,True,False,10000,0,5061,4939,10000
Carlos Allen,31,ABATIÁ,PR,89158748890,71719313,370,53.7831,True,True,10000,0,5061,4939,10000
Christopher Roberts,82,ANGRA DOS REIS,RJ,98682633957,32262517574664,355,53.7831,True,False,10000,0,5061,4939,10000
Monica Taylor,25,ACARI,RN,12078090123,48696613,370,53.7831,True,True,10000,0,5061,4939,10000
Jennifer Hernandez,69,ALTA FLORESTA D'OESTE,RO,10651017165,55189582869917,370,53.7831,True,False,10000,0,5061,4939,10000
Samuel Hoffman,41,AMAJARI,RR,51879288990,69263113,370,53.7831,True,True,10000,0,5061,4939,10000
Kimberly Garcia,43,ACEGUÁ,RS,75864361186,68034698079952,370,53.7831,True,False,10000,0,5061,4939,10000
George Garrison,54,ABDON BATISTA,SC,49986505054,75482213,370,53.7831,True,True,10000,0,5061,4939,10000
Samuel Garcia,50,AMPARO DE SÃO FRANCISCO,SE,41621663744,12733450509440,370,53.7831,True,False,10000,0,5061,4939,10000
David Adams,67,ADAMANTINA,SP,72923965698,62189612,364,53.7831,True,True,10000,0,5061,4939,10000
Timothy Johnson,60,ABREULÂNDIA,TO,77298851586,44018030868109,370,53.7831,True,False,10000,0,5061,4939,10000
Robin Bennett,22,ACRELÂNDIA,AC,44983565787,422613,371,53.7831,True,True,10000,0,5061,4939,10000
Carmen Smith,88,ÁGUA BRANCA,AL,36954367869,43878648288848,371,53.7831,True,False,10000,0,5061,4939,10000
Krista Wade,67,ALVARÃES,AM,65253147551,4311513,371,53.7831,True,True,10000,0,5061,4939,10000
Kevin Patton,35,SERRA DO NAVIO,AP,62723324168,70533854099069,371,53.7831,True,False,10000,0,5061,4939,10000
Tracey Poole,61,ABAÍRA,BA,55761767155,6086713,371,53.7831,True,True,10000,0,5061,4939,10000
Jacqueline Patel,40,ABAIARA,CE,35093715778,06165219717005,371,53.7831,True,False,10000,0,5061,4939,10000
Shawn Thompson,23,Brasília,DF,12817105478,80588913,365,53.7831,True,True,10000,0,5061,4939,10000
Elizabeth Boyd,29,AFONSO CLÁUDIO,ES,69694923700,36203973876275,371,53.7831,True,False,10000,0,5061,4939,10000
Cameron Moreno,57,ABADIA DE GOIÁS,GO,52459702604,93971213,371,53.7831,True,True,10000,0,5061,4939,10000
Thomas Barnett,74,AÇAILÂNDIA,MA,65505473261,11781233097253,371,53.7831,True,False,10000,0,5061,4939,10000
Laurie Long,21,ABADIA DOS DOURADOS,MINAS GERAI,18471733900,12944813,13,53.7831,True,True,10000,0,5061,4939,10000
Leslie Simmons,24,ÁGUA CLARA,MS,31189994976,57543703503339,370,53.7831,True,False,10000,0,5061,4939,10000
Brandon Jefferson,58,ACORIZAL,MT,27554997025,53675613,370,53.7831,True,True,10000,0,5061,4939,10000
Natalie Bradley,51,ABAETETUBA,PA,66718916307,85950785555843,370,53.7831,True,False,10000,0,5061,4939,10000
Ashley Martin,52,ÁGUA BRANCA,PB,34558576390,17480613,370,53.7831,True,True,10000,0,5061,4939,10000
Robert Burke,62,ABREU E LIMA,PE,68596519700,04519457990559,370,53.7831,True,False,10000,0,5061,4939,10000
Brittany Hodges,28,ACAUÃ,PI,15741422160,70691713,370,53.7831,True,True,10000,0,5061,4939,10000
Wendy Nguyen,56,ABATIÁ,PR,55906884009,44945137906207,370,53.7831,True,False,10000,0,5061,4939,10000
Ashley Lawson,82,ANGRA DOS REIS,RJ,1630918970,89080913,355,53.7831,True,True,10000,0,5061,4939,10000
Michael Wood,61,ACARI,RN,87363573247,39487142286382,370,53.7831,True,False,10000,0,5061,4939,10000
Ariel Baker,73,ALTA FLORESTA D'OESTE,RO,71932238875,96509513,370,53.7831,True,True,10000,0,5061,4939,10000
Aaron West,41,AMAJARI,RR,00448470250,39488466236230,370,53.7831,True,False,10000,0,5061,4939,10000
William Scott,19,ACEGUÁ,RS,19889966352,54074213,370,53.7831,True,True,10000,0,5061,4939,10000
Diana Hunt,26,ABDON BATISTA,SC,55625814856,46061794168038,370,53.7831,True,False,10000,0,5061,4939,10000
Sue Ward,78,AMPARO DE SÃO FRANCISCO,SE,30107614901,1088313,370,53.7831,True,True,10000,0,5061,4939,10000
Erica Miller,55,ADAMANTINA,SP,98566055390,32370236805104,364,53.7831,True,False,10000,0,5061,4939,10000
Sara Gibson,87,ABREULÂNDIA,TO,95516909821,67017412,370,53.7831,True,True,10000,0,5061,4939,10000
Meredith Strong,86,ACRELÂNDIA,AC,26401157070,02270831193586,371,53.7831,True,False,10000,0,5061,4939,10000
Katrina Casey,19,ÁGUA BRANCA,AL,3210193770,83199612,371,53.7831,True,True,10000,0,5061,4939,10000
Nathan Newton,71,ALVARÃES,AM,32622825374,86865547358568,371,53.7831,True,False,10000,0,5061,4939,10000
Emily Richmond,27,SERRA DO NAVIO,AP,62221582268,75474613,371,53.7831,True,True,10000,0,5061,4939,10000
Sophia Miller,54,ABAÍRA,BA,74037461986,97403421698500,371,53.7831,True,False,10000,0,5061,4939,10000
Jennifer Morgan,31,ABAIARA,CE,2471293212,20979913,371,53.7831,True,True,10000,0,5061,4939,10000
Nathan Lane MD,40,Brasília,DF,39222207033,99480075880044,365,53.7831,True,False,10000,0,5061,4939,10000
Sara Johnson,74,AFONSO CLÁUDIO,ES,6572169766,43687413,371,53.7831,True,True,10000,0,5061,4939,10000
Ian Davis,77,ABADIA DE GOIÁS,GO,00025315692,94826829312240,371,53.7831,True,False,10000,0,5061,4939,10000
Nicholas Hicks,84,AÇAILÂNDIA,MA,44319586573,52448613,371,53.7831,True,True,10000,0,5061,4939,10000
Stephen Johnson,32,ABADIA DOS DOURADOS,MINAS GERAI,32520637358,68688935342292,13,53.7831,True,False,10000,0,5061,4939,10000
Phillip Shaw,33,ÁGUA CLARA,MS,19751181704,11206613,370,53.7831,True,True,10000,0,5061,4939,10000
Andrew Mann,20,ACORIZAL,MT,77203462200,98373574546170,370,53.7831,True,False,10000,0,5061,4939,10000
Alice Zamora,39,ABAETETUBA,PA,54008023461,43323713,370,53.7831,True,True,10000,0,5061,4939,10000
Jennifer Walker,77,ÁGUA BRANCA,PB,04916824172,65806172762450,370,53.7831,True,False,10000,0,5061,4939,10000
Margaret Haynes,49,ABREU E LIMA,PE,63146603438,73725513,370,53.7831,True,True,10000,0,5061,4939,10000
Timothy Hunt,50,ACAUÃ,PI,59657548330,39551335400239,370,53.7831,True,False,10000,0,5061,4939,10000
Alfred Adams,38,ABATIÁ,PR,79770875457,44068413,370,53.7831,True,True,10000,0,5061,4939,10000
Laura Evans,42,ANGRA DOS REIS,RJ,68897935443,55628865507331,355,53.7831,True,False,10000,0,5061,4939,10000
Charles Ortiz,49,ACARI,RN,16138915550,46314513,370,53.7831,True,True,10000,0,5061,4939,10000
Rhonda Burns,23,ALTA FLORESTA D'OESTE,RO,01059978628,85469490589169,370,53.7831,True,False,10000,0,5061,4939,10000
Jason Robertson,35,AMAJARI,RR,68922332794,87872113,370,53.7831,True,True,10000,0,5061,4939,10000
Melinda Miller,41,ACEGUÁ,RS,08726195160,15218726140772,370,53.7831,True,False,10000,0,5061,4939,10000
Todd Monroe,76,ABDON BATISTA,SC,58541845249,46132212,370,53.7831,True,True,10000,0,5061,4939,10000
Michael Jones,37,AMPARO DE SÃO FRANCISCO,SE,13442738318,23975465944366,370,53.7831,True,False,10000,0,5061,4939,10000
Sandra Beard,81,ADAMANTINA,SP,72028649402,36251513,364,53.7831,True,True,10000,0,5061,4939,10000
Derek Wilkerson,65,ABREULÂNDIA,TO,63375878800,75670781698535,370,53.7831,True,False,10000,0,5061,4939,10000
Brian Burns,27,ACRELÂNDIA,AC,95198510467,87696513,371,53.7831,True,True,10000,0,5061,4939,10000
Joshua Newton,79,ÁGUA BRANCA,AL,85629186604,05731615125826,371,53.7831,True,False,10000,0,5061,4939,10000
Martin Wood,20,ALVARÃES,AM,10943325854,51550813,371,53.7831,True,True,10000,0,5061,4939,10000
Clayton Watson,42,SERRA DO NAVIO,AP,12248999380,07090080016832,371,53.7831,True,False,10000,0,5061,4939,10000
Anthony Powers,22,ABAÍRA,BA,81249949351,32811313,371,53.7831,True,True,10000,0,5061,4939,10000
George Ortiz,37,ABAIARA,CE,54979832784,27237605931371,371,53.7831,True,False,10000,0,5061,4939,10000
Debbie Terry,30,Brasília,DF,22716148996,51841913,365,53.7831,True,True,10000,0,5061,4939,10000
Jacob Clements,75,AFONSO CLÁUDIO,ES,36860500646,98664747680778,371,53.7831,True,False,10000,0,5061,4939,10000
Cynthia Moss,67,ABADIA DE GOIÁS,GO,38338340561,15111313,371,53.7831,True,True,10000,0,5061,4939,10000
Katherine Jackson,35,AÇAILÂNDIA,MA,09699534966,38468520860707,371,53.7831,True,False,10000,0,5061,4939,10000
James Vargas,87,ABADIA DOS DOURADOS,MINAS GERAI,37973765298,20689113,13,53.7831,True,True,10000,0,5061,4939,10000
Amber Martinez,55,ÁGUA CLARA,MS,91492721794,48456328780300,370,53.7831,True,False,10000,0,5061,4939,10000
Walter Graham,62,ACORIZAL,MT,90873910567,34736712,370,53.7831,True,True,10000,0,5061,4939,10000
Deborah Jones,44,ABAETETUBA,PA,62721374788,74074550796859,370,53.7831,True,False,10000,0,5061,4939,10000
Brian Johnson,68,ÁGUA BRANCA,PB,3485795356,20187613,370,53.7831,True,True,10000,0,5061,4939,10000
Cody Wilkerson,78,ABREU E LIMA,PE,83575920230,00349567642528,370,53.7831,True,False,10000,0,5061,4939,10000
Tracy Mendez,22,ACAUÃ,PI,96636097965,24319713,370,53.7831,True,True,10000,0,5061,4939,10000
Angela Stevens,21,ABATIÁ,PR,80541355805,30772945196909,370,53.7831,True,False,10000,0,5061,4939,10000
John Olsen,40,ANGRA DOS REIS,RJ,70926088564,34723212,355,53.7831,True,True,10000,0,5061,4939,10000
Anita Carroll,27,ACARI,RN,81840272902,69492255827869,370,53.7831,True,False,10000,0,5061,4939,10000
Megan Johnson,57,ALTA FLORESTA D'OESTE,RO,56659290770,24299913,370,53.7831,True,True,10000,0,5061,4939,10000
David Tapia,50,AMAJARI,RR,15849824030,62376551996029,370,53.7831,True,False,10000,0,5061,4939,10000
Heidi Jenkins,52,ACEGUÁ,RS,15049112885,99088813,370,53.7831,True,True,10000,0,5061,4939,10000
Todd Chan,83,ABDON BATISTA,SC,45786249190,30622489716779,370,53.7831,True,False,10000,0,5061,4939,10000
Raymond White,21,AMPARO DE SÃO FRANCISCO,SE,83778552678,66462913,370,53.7831,True,True,10000,0,5061,4939,10000
Eric Palmer,88,ADAMANTINA,SP,63602850102,39157296097848,364,53.7831,True,False,10000,0,5061,4939,10000
